Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
Ride-On Steer,An everyday activity that develops walking and dynamic balance.,"Walking is new and still effortful, so this kind of practice is what turns a wobbly skill into an automatic one. Follow their interest rather than the instructions, and stop while they are still enjoying it.","Push-along ride-on with steerable wheels, or just steering a cart. Navigation and steering need practice just like walking did.",Gross Motor,10–15 min,Ride-on or push cart,19–21 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Draw Vertical Line,An everyday activity that develops first mark-making.,"This is the age where hands become genuinely useful tools, and that happens through hundreds of small attempts. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Show drawing a line from top to bottom and let toddler try. Directional mark-making is the direct precursor to letter formation.,Fine Motor,5–10 min,Crayon and paper,19–21 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Copy Circle,An everyday activity that develops first mark-making.,"This is the age where hands become genuinely useful tools, and that happens through hundreds of small attempts. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Show drawing a circle slowly and let toddler try. Circle before straight lines: fine motor milestone at 24–27 months when it appears.,Fine Motor,5–10 min,Crayon and paper,19–21 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Stack 8+ Blocks,A simple activity that builds stacking and controlled release.,"Fine motor skill at this stage is built through play rather than practice, and this offers plenty of both. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",8-block tower requires sequential spatial planning: each level must be stable before the next. The planning IS the developmental work.,Fine Motor,5–10 min,Blocks,19–21 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Cut Child Scissors,"A playful, repeatable activity for bilateral tearing.","Small hands need a great deal of repetition, and this builds the strength and control that self-feeding and dressing will require. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Introduce child-safe scissors with a parent steadying the paper. Cutting requires bilateral coordination and sustained grip.,Fine Motor,5–10 min,Child scissors and paper,19–21 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Peg Pegboard,"A playful, repeatable activity for hand strength.","This is the age where hands become genuinely useful tools, and that happens through hundreds of small attempts. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.","Press pegs into a pegboard. Requires visual targeting, push force calibration, and the release of placing.",Fine Motor,5–10 min,Pegboard (homemade: card with holes),19–21 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Lace Large Holes,A simple activity that builds threading and hand-eye coordination.,"Small hands need a great deal of repetition, and this builds the strength and control that self-feeding and dressing will require. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Lace a shoelace through large holes in cardboard. Pre-lacing builds the same hand movements as actual shoe-lacing later.,Fine Motor,5–10 min,Cardboard with holes + shoelace,19–21 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
50–100 Word Vocabulary,A simple activity that builds first words and vocabulary.,"First words appear in this window, and they appear faster in children who are talked with rather than talked at. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",50+ words by 20 months is solid. Under 20 consistent words by 20 months is worth discussing with a paediatrician.,Language & Communication,Ongoing,None,19–21 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Three-Word Phrases,An everyday activity that develops first words and vocabulary.,"Your toddler understands much more than they can say, and this closes that gap. Follow their interest rather than the instructions, and stop while they are still enjoying it.","More apple please', 'Mama come here.' Three-word combinations beginning to appear 19–24 months.",Language & Communication,Ongoing,None,19–21 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Refer Self Name,"A playful, repeatable activity for first words and vocabulary.","Vocabulary at this age grows through repeated, everyday exchanges far more than through teaching. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Aryan do it!' Using own name before 'I' is developmentally normal and means self-concept is forming.,Language & Communication,Ongoing,None,19–21 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Ask 'Why?' Game,A simple activity that builds first words and understanding.,"Your toddler understands much more than they can say, and this closes that gap. Follow their interest rather than the instructions, and stop while they are still enjoying it.","When toddler asks 'why' (it starts!), answer simply and then ask 'why do you think?' Turn every why into a conversation.",Language & Communication,Ongoing,None,19–21 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Story Re-tell,A simple activity that builds early narrative and vocabulary.,"Vocabulary at this age grows through repeated, everyday exchanges far more than through teaching. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","After reading a familiar book, close it and ask 'What happened?' Listen for any sequence: even one event recalled is narrative memory.",Language & Communication,5–10 min,Familiar book,19–21 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Colour Naming Focus,A simple activity that builds first words and vocabulary.,"First words appear in this window, and they appear faster in children who are talked with rather than talked at. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Introduce one colour per week. Label it consistently all week: 'The red cup. Your red shoes. Red tomatoes!' One at a time works best.,Language & Communication,Ongoing,None,19–21 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
2-Step Instruction I,An everyday activity that develops following simple instructions.,"Vocabulary at this age grows through repeated, everyday exchanges far more than through teaching. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Pick up the cup AND bring it to me.' Two unrelated steps in sequence tests working memory as well as language.,Language & Communication,3–5 min,Cup,19–21 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Conversation Practice,An everyday activity that develops first words and understanding.,"Vocabulary at this age grows through repeated, everyday exchanges far more than through teaching. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Ask open questions about recent experiences: 'What did you see at the park?' Don't correct answers: expand and continue.,Language & Communication,5–10 min,None,19–21 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Cause-Effect Multi-Step,A simple activity that builds cause-and-effect reasoning.,"Understanding at this stage is built through direct experience, repeated many times. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Stack 3 books then push: watch toddler's face. Set up a ramp and roll a ball down. Multi-step cause-effect chains are interesting now.,Cognitive,5–10 min,"Books, ball, ramp (board)",19–21 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Animals vs Food,"A playful, repeatable activity for early sorting and matching.","Understanding at this stage is built through direct experience, repeated many times. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Use pictures or objects: sort animals from foods. Categorisation by function or type is a major cognitive leap.,Cognitive,5–10 min,Pictures or toy sets,19–21 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Sequence 3 Events,A simple activity that builds early problem-solving and matching.,"Understanding at this stage is built through direct experience, repeated many times. Follow their interest rather than the instructions, and stop while they are still enjoying it.","After a routine, ask what comes next: 'We had bath. Then what? Then what?' Three-event sequence recall is emerging.",Cognitive,5–8 min,None,19–21 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Puzzle 6–8 Pieces,A simple activity that builds shape and spatial matching.,"Understanding at this stage is built through direct experience, repeated many times. Follow their interest rather than the instructions, and stop while they are still enjoying it.",6–8 piece puzzle requiring rotation and trial-and-error. The frustration tolerance needed here is as developmental as the spatial skill.,Cognitive,5–10 min,Simple puzzle,19–21 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Count 1–5 Objects,A simple activity that builds number word awareness.,"Understanding at this stage is built through direct experience, repeated many times. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Place 3 objects in a line and count them together: touch each as you count. One-to-one correspondence beginning to appear.,Cognitive,5–8 min,Small objects,19–21 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Memory Card Match,An everyday activity that develops early sorting and matching.,"Toddlers learn by trying things and seeing what happens, and this gives them something worth investigating. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",4 pairs of matching cards face-down. Turn over 2 at a time. Early working memory and concentration.,Cognitive,5–10 min,8 cards in 4 matching pairs,19–21 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Emotion Management Practice,An everyday activity that develops early emotional regulation.,"Your toddler is discovering they are a separate person with their own wants, which is why this stage is intense. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","Before a frustrating task, name the strategy: 'If this is hard, take a breath.' Practice during calm so it is available during frustration.",Social-Emotional,5–8 min,None,19–21 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Turn Taking Games,An everyday activity that develops first turn-taking.,"Emotional skills at this age are learned by being helped through feelings, over and over. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Establish clear turn-taking in a simple game. 'Meri baari. Ab tumhari baari.' Consistent language makes the rule learnable.,Social-Emotional,5–10 min,Any game,19–21 months,Harvard Center on the Developing Child (Serve and Return); IAP
Empathy Practice,An everyday activity that develops emotional expression and early social skills.,"Emotional skills at this age are learned by being helped through feelings, over and over. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Point out someone who is sad or hurt. 'Woh roh raha hai. Use dard hua. Hum kya kar sakte hain?' Empathy is taught through narration.,Social-Emotional,Ongoing,None,19–21 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Pretend Play Social,"A playful, repeatable activity for emotional expression and early social skills.","Emotional skills at this age are learned by being helped through feelings, over and over. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Set up a tea party or cooking scenario with dolls. Taking roles in pretend play is social cognition and narrative combined.,Social-Emotional,10–15 min,"Dolls, cups, play food",19–21 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Self-Advocacy Seed,"A playful, repeatable activity for emotional vocabulary.","Emotional skills at this age are learned by being helped through feelings, over and over. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","When toddler is upset, model the phrase: 'I don't like that' or 'Mujhe yeh pasand nahi.' Give them words for their feelings.",Social-Emotional,Ongoing,None,19–21 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Comfort Skill Building,A simple activity that builds early emotional regulation.,"Emotional skills at this age are learned by being helped through feelings, over and over. Follow their interest rather than the instructions, and stop while they are still enjoying it.","Introduce a simple self-comfort strategy in a calm moment: slow breathing, squeezing a soft object. Practice before it is needed.",Social-Emotional,5–8 min,Soft object,19–21 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Water Transfer Play,An everyday activity that develops water play and sensory regulation.,"This supports the sensory processing that underlies calm, settled behaviour. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.","Two containers of water, a cup for transferring. Supervised water play for 15 min. Pouring, splashing, and measuring emerge naturally.",Sensory,15–20 min,Two containers + cup + water,19–21 months,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Atta Dough Shapes,An everyday activity that develops tactile exploration.,"Messy, tactile play at this age builds tolerance that makes eating and dressing easier too. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","With an adult handing over and collecting the knife each time, roll, flatten, and cut atta dough with a blunt knife. Making shapes adds visual-motor control to the tactile input.",Sensory,10–15 min,Playdough or atta dough,19–21 months,ICMR-NIN Dietary Guidelines for Indians; IAP Infant and Young Child Feeding; IAP
Nature Scavenger Hunt,An everyday activity that develops tactile exploration.,"Toddlers need a lot of sensory input, and providing it deliberately often reduces the seeking behaviour that looks like mischief. Follow their interest rather than the instructions, and stop while they are still enjoying it.","Walk outside and collect one of each: a leaf, a stone, a stick, a feather. Touch and describe each one together.",Sensory,20–30 min,Bag for collecting,19–21 months,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Bubble Play,A simple activity that builds sensory exploration and tolerance.,"Messy, tactile play at this age builds tolerance that makes eating and dressing easier too. Follow their interest rather than the instructions, and stop while they are still enjoying it.","Blow bubbles and let toddler pop them. Tracking, reaching, timing, and the satisfying pop make this multi-sensory and motivating.",Sensory,10–15 min,Soap + water + wire loop,19–21 months,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Paint Hands,"A playful, repeatable activity for tolerating messy textures.","Toddlers need a lot of sensory input, and providing it deliberately often reduces the seeking behaviour that looks like mischief. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Finger painting (food-safe paint or safe craft paint). Each colour is introduced separately. Direct contact with material.,Sensory,10–15 min,"Paint (washable), paper",19–21 months,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Dressing Participation,"A playful, repeatable activity for beginning to dress.","Toddlers want to do things themselves, and channelling that into real self-care tasks works with the drive rather than against it. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Name each clothing item as it goes on. Ask toddler to help push arm through sleeve or lift foot for shoe. Participation builds independence.,Self-Care & Adaptive,5–10 min,Clothing,19–21 months,IAP Infant and Young Child Feeding; AAP Toilet Training Guidance; IAP
Teeth Brushing Ritual,An everyday activity that develops hygiene routines.,"This builds genuine independence at an age when wanting to be independent is at its peak. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Brush teeth together at the same time. Letting toddler hold and attempt the brush first builds cooperation with the hygiene routine.,Self-Care & Adaptive,2–3 min,Toothbrush,19–21 months,IAP Infant and Young Child Feeding; AAP Toilet Training Guidance; IAP
Running Obstacle Course,A simple activity that builds early running.,"Toddlers need to move a great deal, and this gives that energy somewhere useful to go while building balance and strength. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","Set up household obstacles to run around: chairs, cushions, a line of tape. Navigating while running requires real-time motor planning.",Gross Motor,10–15 min,"Chairs, cushions, tape",22–24 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Over Line I,An everyday activity that develops early jumping.,"Toddlers need to move a great deal, and this gives that energy somewhere useful to go while building balance and strength. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Put a tape line on the floor. Jump over with both feet. Clearing an obstacle while jumping = significantly harder than jumping in place.,Gross Motor,3–5 min,Masking tape,22–24 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Walk Backward,"A playful, repeatable activity for walking and dynamic balance.","Toddlers need to move a great deal, and this gives that energy somewhere useful to go while building balance and strength. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.","Practice walking backward, first holding hands then free. Backward locomotion requires body-awareness and spatial recalibration.",Gross Motor,5–10 min,None,22–24 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Throw Catch,A simple activity that builds early throwing and ball skills.,"At this age balance is still developing, and each attempt refines it a little further. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.","Roll a large ball back and forth, then graduate to low throwing and catching. Catching a rolling ball before a thrown one.",Gross Motor,5–10 min,Large soft ball,22–24 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Pedal Tricycle,An everyday activity that develops walking and dynamic balance.,"Walking is new and still effortful, so this kind of practice is what turns a wobbly skill into an automatic one. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Practice on a tricycle or balance bike. Pedalling requires reciprocal leg movement: the same pattern as walking but with sustained force.,Gross Motor,10–15 min,Tricycle or balance bike,22–24 months,ICMR-NIN Dietary Guidelines for Indians; IAP Infant and Young Child Feeding; IAP
Gallop Forward,"A playful, repeatable activity for walking and dynamic balance.","Toddlers need to move a great deal, and this gives that energy somewhere useful to go while building balance and strength. Follow their interest rather than the instructions, and stop while they are still enjoying it.","Demonstrate a gallop (lead-foot, drag) and encourage copying. Galloping before skipping: the intermediate coordination step.",Gross Motor,5–10 min,None,22–24 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Step Alternating Stairs,A simple activity that builds walking and dynamic balance.,"Toddlers need to move a great deal, and this gives that energy somewhere useful to go while building balance and strength. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Encourage alternating feet on the way up the stairs. May still need rail; alternating feet up is a 24–30 month milestone.,Gross Motor,5–10 min,Stairs,22–24 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Pull Heavy Objects,A simple activity that builds functional strength and carrying.,"Toddlers need to move a great deal, and this gives that energy somewhere useful to go while building balance and strength. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Encourage pushing a chair or pulling a loaded bag. Resistance exercise builds core strength and spatial navigation simultaneously.,Gross Motor,5–10 min,Chair or bag with books,22–24 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Drawing Horizontal Line,"A playful, repeatable activity for first mark-making.","Small hands need a great deal of repetition, and this builds the strength and control that self-feeding and dressing will require. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Show a horizontal line (left to right) and ask child to copy. Directionality in drawing precedes directionality in writing.,Fine Motor,5–10 min,Crayon and paper,22–24 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Copy Drawing Circle,"A playful, repeatable activity for first mark-making.","Fine motor skill at this stage is built through play rather than practice, and this offers plenty of both. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Demonstrate a circle slowly and let child try. Circle-copying typically appears 24–30 months: earlier than + or V shapes.,Fine Motor,5–10 min,Crayon and paper,22–24 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Snip Scissors,"A playful, repeatable activity for bilateral tearing.","This is the age where hands become genuinely useful tools, and that happens through hundreds of small attempts. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","With an adult supervising closely, use child-safe scissors to snip fringe into paper strips. Each snip is a complete bilateral motor action.",Fine Motor,5–10 min,Child scissors and paper,22–24 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
from Jug Cup,"A playful, repeatable activity for pouring and wrist control.","Small hands need a great deal of repetition, and this builds the strength and control that self-feeding and dressing will require. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Pour water from a small jug into a cup. The control of flow is a daily self-care fine motor skill used for years.,Fine Motor,5–10 min,"Small jug and cup, water",22–24 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Puzzle I,"A playful, repeatable activity for hand strength and early dexterity.","This is the age where hands become genuinely useful tools, and that happens through hundreds of small attempts. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",8–10 piece puzzle requiring rotation and spatial reasoning. Systematically trying each piece before accepting failure is the cognitive goal.,Fine Motor,5–10 min,Puzzle,22–24 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
Sort Colours,An everyday activity that develops grasp-and-release control.,"Small hands need a great deal of repetition, and this builds the strength and control that self-feeding and dressing will require. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Sort household objects into 3 colour groups. Naming the colours correctly while sorting combines language and cognition.,Fine Motor,5–10 min,Coloured household objects,22–24 months,AOTA Fine Motor Development; AAP Developmental Milestones; IAP
200+ Word Vocabulary,"A playful, repeatable activity for first words and vocabulary.","First words appear in this window, and they appear faster in children who are talked with rather than talked at. Follow their interest rather than the instructions, and stop while they are still enjoying it.",200 words by 24 months is the benchmark (CDC). Under 50 words by 24 months is worth professional discussion.,Language & Communication,Ongoing,None,22–24 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Two- Three-Word Phrases,A simple activity that builds first words and vocabulary.,"Your toddler understands much more than they can say, and this closes that gap. Follow their interest rather than the instructions, and stop while they are still enjoying it.","Mama, more water please.' Three-word phrases mark a significant vocabulary and grammar step appearing 21–24 months.",Language & Communication,Ongoing,None,22–24 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Use 'I' 'Me',An everyday activity that develops first words and understanding.,"Vocabulary at this age grows through repeated, everyday exchanges far more than through teaching. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",I want' and 'Give me' appearing means self-concept is strongly established. Model these forms throughout the day.,Language & Communication,Ongoing,None,22–24 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Ask Open Questions,A simple activity that builds first words and understanding.,"First words appear in this window, and they appear faster in children who are talked with rather than talked at. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.","What happened at the park today?' Not 'Did you have fun?' Open questions require memory, sequencing, and language simultaneously.",Language & Communication,5–10 min,None,22–24 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Story Prediction,"A playful, repeatable activity for early narrative and vocabulary.","First words appear in this window, and they appear faster in children who are talked with rather than talked at. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","During book reading, stop before a page turn: 'What do you think will happen next?' Prediction requires language plus narrative cognition.",Language & Communication,5–10 min,Book,22–24 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Name Colours Environment,An everyday activity that develops first words and vocabulary.,"Your toddler understands much more than they can say, and this closes that gap. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Not a colour worksheet: just naming colours of real objects throughout the day. Context makes the association stronger.,Language & Communication,Ongoing,None,22–24 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Rhyming Play,A simple activity that builds early narrative and vocabulary.,"Your toddler understands much more than they can say, and this closes that gap. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Cat (bat) sat: mat!' Rhyming awareness at 24 months predicts reading readiness. Even partial awareness is worth celebrating.,Language & Communication,5–8 min,None,22–24 months,ASHA Speech and Language Milestones; AIISH India language norms; IAP
Describe Daily Events,A simple activity that builds first words and understanding.,"First words appear in this window, and they appear faster in children who are talked with rather than talked at. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","At bedtime, ask child to tell you two things that happened today. This builds narrative language and episodic memory together.",Language & Communication,5–10 min,None,22–24 months,AAP Safe Sleep Guidance; IAP; IAP
Sort Size,"A playful, repeatable activity for early sorting and matching.","Toddlers learn by trying things and seeing what happens, and this gives them something worth investigating. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","Sort objects into two groups: big and small. Size concept develops through sorting, not worksheets.",Cognitive,5–10 min,Objects of two distinct sizes,22–24 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Sequence Daily Routine,"A playful, repeatable activity for early problem-solving and matching.","Toddlers learn by trying things and seeing what happens, and this gives them something worth investigating. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Ask: 'What do we do after breakfast? Then what?' Three to four event sequence recall is the target at this age.,Cognitive,5–8 min,None,22–24 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Complete Simple Pattern,An everyday activity that develops shape and spatial matching.,"Toddlers learn by trying things and seeing what happens, and this gives them something worth investigating. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","Build a simple colour or shape pattern: red, blue, red, blue, and leave a gap. Can child predict what comes next?",Cognitive,5–8 min,Coloured objects or blocks,22–24 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Concept Full Empty,"A playful, repeatable activity for early problem-solving and matching.","This builds early problem-solving at an age when persistence is short and everything is experimental. Follow their interest rather than the instructions, and stop while they are still enjoying it.",Pour water into an empty glass; let child pour it back. 'Full. Empty. Full again.' Concrete object manipulation precedes abstract concept.,Cognitive,5–10 min,Glass and water,22–24 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Match Photo Person,A simple activity that builds object permanence and searching.,"This builds early problem-solving at an age when persistence is short and everything is experimental. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Show baby photos of family members. Can child identify who it is? Memory across time = abstract object permanence.,Cognitive,5–8 min,Family photos,22–24 months,Piagetian developmental framework; Harvard Center on the Developing Child; IAP
Counting One-to-One Correspondence,A simple activity that builds number word awareness.,"Understanding at this stage is built through direct experience, repeated many times. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.","Place 4 objects in a line; touch each as you count 1-2-3-4. Guide child's hand to touch each. Counting with meaning, not reciting.",Cognitive,5–10 min,Small objects,22–24 months,Harvard Center on the Developing Child (Executive Function); Zero to Three; IAP
Sharing Practice,A simple activity that builds playing near other children.,"Your toddler is discovering they are a separate person with their own wants, which is why this stage is intense. Follow their interest rather than the instructions, and stop while they are still enjoying it.",During play: 'You have 4 blocks. Can you give me 2?' Guided sharing builds number concept alongside social skill.,Social-Emotional,5–10 min,Blocks or similar,22–24 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Cooperative Building,A simple activity that builds first turn-taking.,"Emotional skills at this age are learned by being helped through feelings, over and over. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","Build something together: 'I put one block, you put one block.' Turn-taking in construction is cooperative play at its clearest.",Social-Emotional,5–10 min,Blocks,22–24 months,Harvard Center on the Developing Child (Serve and Return); IAP
Feelings Vocabulary,An everyday activity that develops emotional vocabulary.,"Emotional skills at this age are learned by being helped through feelings, over and over. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.","Name 5 emotions accurately this week: happy, sad, angry, scared, excited. Emotional vocabulary directly predicts social competence.",Social-Emotional,Ongoing,None,22–24 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Pretend Play Elaboration,"A playful, repeatable activity for emotional expression and early social skills.","Toddlers have very big feelings and almost no ability to manage them, so this is about support rather than teaching. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Join child's pretend play and add a new element: 'The baby is sleeping: shall we sing her a lori?' Extending the narrative.,Social-Emotional,10–15 min,Soft toy,22–24 months,AAP Safe Sleep Guidance; IAP; IAP
Frustration Script,An everyday activity that develops early emotional regulation.,"Your toddler is discovering they are a separate person with their own wants, which is why this stage is intense. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",Teach a specific phrase for frustration: 'I need help' or 'Mujhe madad chahiye.' Practice during calm: not during the moment.,Social-Emotional,3–5 min,None,22–24 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Apology Practice,"A playful, repeatable activity for emotional expression and early social skills.","Toddlers have very big feelings and almost no ability to manage them, so this is about support rather than teaching. Follow their interest rather than the instructions, and stop while they are still enjoying it.","When child hurts or upsets another: 'What could you say? How do you think they felt?' Modelling, not forcing. Empathy precedes apology.",Social-Emotional,3–5 min,None,22–24 months,Zero to Three; CASEL Social-Emotional Framework; UNICEF Responsive Caregiving; IAP
Sensory Walk Barefoot,A simple activity that builds tactile exploration.,"This supports the sensory processing that underlies calm, settled behaviour. Follow their interest rather than the instructions, and stop while they are still enjoying it.","Walk barefoot on grass, sand, and smooth pavement on the same outing. Noticing the difference is the sensory lesson.",Sensory,15–20 min,None (outdoors),22–24 months,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Mixing Colours,A simple activity that builds water play and sensory regulation.,"Toddlers need a lot of sensory input, and providing it deliberately often reduces the seeking behaviour that looks like mischief. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Add food colouring to water in clear cups and mix two together. Watching red + blue = purple is both science and sensory.,Sensory,5–10 min,"Clear cups, water, food colouring",22–24 months,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Musical Instruments Exploration,An everyday activity that develops auditory processing.,"This supports the sensory processing that underlies calm, settled behaviour. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.","Pots, boxes, metal bowls: each makes a different sound. Let child experiment with what each material produces.",Sensory,5–10 min,"Pots, boxes, metal containers",22–24 months,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Clay Detailed Work,"A playful, repeatable activity for tactile exploration.","Messy, tactile play at this age builds tolerance that makes eating and dressing easier too. Follow their interest rather than the instructions, and stop while they are still enjoying it.","Press small objects into dough to make impressions. Roll thin snakes. With an adult handing over and collecting the knife each time, cut with a blunt knife. Precision work in tactile medium.",Sensory,10–15 min,Atta dough and objects to press,22–24 months,ICMR-NIN Dietary Guidelines for Indians; IAP Infant and Young Child Feeding; IAP
Weighted Blanket Cuddle,"A playful, repeatable activity for sensory exploration and tolerance.","This supports the sensory processing that underlies calm, settled behaviour. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.",Wrap child in a heavy blanket on a lap. Deep pressure input is calming for the autonomic nervous system.,Sensory,5–10 min,Heavy blanket,22–24 months,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
